year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,total_delay
2025,3,G7,GoJet Airlines LLC d/b/a United Express,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",27.0,11.0,3.48,1.0,1.59,0.0,4.93,0.0,0.0,989.0,253.0,100.0,91.0,0.0,545.0,898.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,ILM,"Wilmington, NC: Wilmington International",57.0,16.0,7.03,0.9,3.13,0.0,4.94,0.0,0.0,1861.0,512.0,744.0,88.0,0.0,517.0,1773.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,IND,"Indianapolis, IN: Indianapolis International",6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,ITH,"Ithaca/Cortland, NY: Ithaca Tompkins International",48.0,16.0,6.63,0.0,1.85,0.0,7.52,0.0,0.0,1411.0,542.0,0.0,110.0,0.0,759.0,1301.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,LEX,"Lexington, KY: Blue Grass",89.0,18.0,2.86,0.0,1.83,0.0,13.31,0.0,0.0,2878.0,809.0,0.0,92.0,0.0,1977.0,2786.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,LGA,"New York, NY: LaGuardia",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",79.0,14.0,4.02,0.15,2.53,0.0,7.3,0.0,0.0,1060.0,258.0,22.0,139.0,0.0,641.0,921.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,LNK,"Lincoln, NE: Lincoln Airport",34.0,7.0,1.66,0.06,2.56,0.0,2.72,1.0,0.0,1307.0,141.0,50.0,212.0,0.0,904.0,1095.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,MDT,"Harrisburg, PA: Harrisburg International",34.0,8.0,2.52,0.0,1.92,0.0,3.56,0.0,0.0,591.0,205.0,0.0,79.0,0.0,307.0,512.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,MEM,"Memphis, TN: Memphis International",33.0,7.0,2.5,0.0,1.88,0.0,2.62,0.0,0.0,869.0,187.0,0.0,130.0,0.0,552.0,739.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,MHT,"Manchester, NH: Manchester Boston Regional",53.0,19.0,4.2,0.0,1.72,0.0,13.07,0.0,0.0,1986.0,457.0,0.0,69.0,0.0,1460.0,1917.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,MLI,"Moline, IL: Quad Cities International",3.0,1.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,104.0,0.0,26.0,0.0,0.0,78.0,104.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,MSN,"Madison, WI: Dane County Regional-Truax Field",46.0,8.0,2.03,0.0,0.66,0.0,5.31,0.0,0.0,558.0,188.0,0.0,58.0,0.0,312.0,500.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,OMA,"Omaha, NE: Eppley Airfield",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,ORD,"Chicago, IL: Chicago O'Hare International",1514.0,336.0,65.43,13.63,100.92,0.0,156.02,7.0,5.0,33844.0,4988.0,2096.0,8255.0,0.0,18505.0,25589.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,ORF,"Norfolk, VA: Norfolk International",18.0,3.0,1.0,0.0,1.03,0.0,0.97,0.0,0.0,261.0,68.0,0.0,55.0,0.0,138.0,206.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,PHL,"Philadelphia, PA: Philadelphia International",76.0,17.0,8.01,0.0,4.91,0.0,4.08,0.0,0.0,1965.0,1101.0,0.0,179.0,0.0,685.0,1786.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,PIT,"Pittsburgh, PA: Pittsburgh International",55.0,13.0,4.01,0.0,3.29,0.0,5.69,0.0,1.0,717.0,166.0,0.0,95.0,0.0,456.0,622.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,PVD,"Providence, RI: Rhode Island Tf Green International",68.0,22.0,8.56,0.0,5.26,0.0,8.17,2.0,0.0,1288.0,458.0,0.0,150.0,0.0,680.0,1138.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,PWM,"Portland, ME: Portland International Jetport",25.0,3.0,0.05,0.0,0.47,0.0,2.48,0.0,0.0,322.0,8.0,0.0,7.0,0.0,307.0,315.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,32.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,RIC,"Richmond, VA: Richmond International",228.0,69.0,18.01,1.16,10.56,0.0,39.27,1.0,0.0,10469.0,1426.0,97.0,500.0,0.0,8446.0,9969.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,ROA,"Roanoke, VA: Roanoke Blacksburg Regional",62.0,25.0,6.37,0.95,7.21,0.0,10.46,1.0,0.0,2583.0,368.0,843.0,380.0,0.0,992.0,2203.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",85.0,19.0,5.94,0.0,4.94,0.0,8.11,0.0,0.0,1930.0,323.0,0.0,209.0,0.0,1398.0,1721.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,SAV,"Savannah, GA: Savannah/Hilton Head International",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,SCE,"State College, PA: University Park",15.0,7.0,4.63,0.0,0.6,0.0,1.77,0.0,0.0,444.0,307.0,0.0,17.0,0.0,120.0,427.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,SDF,"Louisville, KY: Louisville Muhammad Ali International",3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,SGF,"Springfield, MO: Springfield-Branson National",4.0,2.0,0.1,0.0,0.0,0.0,1.9,0.0,0.0,223.0,18.0,0.0,0.0,0.0,205.0,223.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,STL,"St. Louis, MO: St Louis Lambert International",199.0,41.0,10.77,2.0,6.97,0.0,21.26,0.0,1.0,5511.0,1584.0,328.0,246.0,0.0,3353.0,5265.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,SYR,"Syracuse, NY: Syracuse Hancock International",66.0,18.0,2.86,0.0,4.81,0.0,10.33,0.0,0.0,1667.0,257.0,0.0,203.0,0.0,1207.0,1464.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,TUL,"Tulsa, OK: Tulsa International",27.0,9.0,3.32,1.0,0.09,0.0,4.59,1.0,0.0,1953.0,483.0,886.0,21.0,0.0,563.0,1932.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,TVC,"Traverse City, MI: Cherry Capital",53.0,17.0,4.99,0.77,5.03,0.0,6.21,0.0,0.0,1260.0,425.0,17.0,236.0,0.0,582.0,1024.0
2025,3,G7,GoJet Airlines LLC d/b/a United Express,TYS,"Knoxville, TN: McGhee Tyson",31.0,5.0,1.37,0.0,1.97,0.0,1.66,0.0,0.0,317.0,106.0,0.0,62.0,0.0,149.0,255.0
